victim_set,victim_line_count,probe_set,count,sum_probe_time
0,7,51,1727,52237
0,7,52,1727,52508
0,7,53,1727,52279
0,7,54,1727,52393
0,7,55,1727,52405
0,7,56,1727,52539
0,7,57,1727,52315
0,7,58,1727,52286
0,7,59,1727,52261
0,7,60,1727,52434
0,7,61,1727,52256
0,7,62,1727,52379
0,7,63,1727,103070
0,8,0,1727,103898
0,8,1,1727,103786
0,8,2,1727,84642
0,8,3,1727,103186
0,8,4,1727,52426
0,8,5,1727,52488
0,8,6,1727,52407
0,8,7,1727,84279
0,8,8,1727,94720
0,8,9,1727,68133
0,8,10,1727,59201
0,8,11,1727,52358
0,8,12,1727,52334
0,8,13,1727,52337
0,8,14,1727,52362
0,8,15,1727,52378
0,8,16,1727,51641
0,8,17,1727,52399
0,8,18,1727,103091
0,8,19,1727,111854
0,8,20,1727,103681
0,8,21,1727,103689
0,8,22,1727,103800
0,8,23,1727,104437
0,8,24,1727,104406
0,8,25,1727,103674
0,8,26,1727,104210
0,8,27,1727,52710
0,8,28,1727,57486
0,8,29,1727,104076
0,8,30,1727,99185
0,8,31,1727,52380
0,8,32,1727,52439
0,8,33,1727,52352
0,8,34,1727,52450
0,8,35,1727,52507
0,8,36,1727,52424
0,8,37,1727,52470
0,8,38,1727,52422
0,8,39,1726,52411
0,8,40,1727,52453
0,8,41,1727,52693
0,8,42,1727,52726
0,8,43,1727,52373
0,8,44,1727,52451
0,8,45,1727,52338
0,8,46,1727,52514
0,8,47,1727,52738
0,8,48,1727,52493
0,8,49,1727,52751
0,8,50,1727,52576
0,8,51,1727,52459
0,8,52,1727,52493
0,8,53,1727,52456
0,8,54,1727,52317
0,8,55,1727,52343
0,8,56,1727,52379
0,8,57,1727,52454
0,8,58,1727,52424
0,8,59,1727,52421
0,8,60,1727,52425
0,8,61,1727,52421
0,8,62,1727,52415
0,8,63,1727,103274
1,0,0,1712,102892
1,0,1,1712,102820
1,0,2,1712,85420
1,0,3,1711,101493
1,0,4,1712,52024
1,0,5,1712,52012
1,0,6,1712,52100
1,0,7,1712,82968
1,0,8,1712,94015
1,0,9,1712,67937
1,0,10,1712,59965
1,0,11,1712,51985
1,0,12,1712,51876
1,0,13,1712,52082
1,0,14,1712,51937
1,0,15,1712,52307
1,0,16,1712,51033
1,0,17,1712,51996
1,0,18,1712,102662
1,0,19,1712,110998
1,0,20,1712,102680
1,0,21,1712,103453
1,0,22,1712,92071
1,0,23,1712,51897
1,0,24,1712,52039
1,0,25,1712,52098
1,0,26,1712,51919
1,0,27,1712,51977
1,0,28,1712,103088
1,0,29,1712,112001
1,0,30,1712,102866
1,0,31,1712,103709
1,0,32,1712,103716
1,0,33,1712,103100
1,0,34,1712,52086
1,0,35,1712,52109
1,0,36,1712,103075
1,0,37,1712,51974
1,0,38,1712,57414
1,0,39,1712,52171
1,0,40,1712,51843
1,0,41,1712,51937
1,0,42,1712,51919
1,0,43,1712,52091
1,0,44,1712,52041
1,0,45,1712,52088
1,0,46,1712,51899
1,0,47,1712,52176
1,0,48,1712,52128
1,0,49,1712,51842
1,0,50,1712,51999
1,0,51,1712,52281
1,0,52,1712,51940
1,0,53,1712,52064
1,0,54,1712,52131
1,0,55,1712,51999
1,0,56,1712,51937
1,0,57,1712,52067
1,0,58,1712,52113
1,0,59,1712,52079
1,0,60,1712,51980
1,0,61,1712,51982
1,0,62,1712,51946
1,0,63,1712,101770
1,1,0,1746,104952
1,1,1,1745,104699
1,1,2,1746,92212
1,1,3,1746,103275
1,1,4,1746,52927
1,1,5,1746,52866
1,1,6,1746,52977
1,1,7,1746,84972
1,1,8,1746,94918
1,1,9,1746,68815
1,1,10,1746,59378
1,1,11,1746,52960
1,1,12,1746,52888
1,1,13,1746,53280
1,1,14,1746,53042
1,1,15,1746,52927
1,1,16,1746,52022
1,1,17,1746,52907
1,1,18,1746,104642
1,1,19,1746,113197
1,1,20,1746,104657
1,1,21,1746,104891
1,1,22,1746,92175
1,1,23,1746,52998
1,1,24,1746,52890
1,1,25,1746,52956
1,1,26,1746,52879
1,1,27,1746,53158
1,1,28,1746,52870
1,1,29,1746,104938
1,1,30,1746,74644
1,1,31,1746,52948
1,1,32,1746,52918
1,1,33,1746,52928
1,1,34,1746,52772
1,1,35,1746,52984
1,1,36,1746,104992
1,1,37,1746,105819
1,1,38,1746,104491
1,1,39,1746,105228
1,1,40,1746,104997
1,1,41,1746,105277
1,1,42,1746,105294
1,1,43,1746,105872
1,1,44,1746,105587
1,1,45,1746,52847
1,1,46,1746,98466
1,1,47,1746,53179
1,1,48,1746,52918
1,1,49,1746,52856
1,1,50,1746,53010
1,1,51,1746,52793
1,1,52,1746,52851
1,1,53,1746,52857
1,1,54,1746,53025
1,1,55,1746,52950
1,1,56,1746,52990
1,1,57,1746,53067
1,1,58,1746,52971
1,1,59,1746,53050
1,1,60,1746,52883
1,1,61,1746,52890
1,1,62,1746,52903
1,1,63,1746,104538
1,2,0,1700,102020
1,2,1,1700,102051
1,2,2,1700,101732
1,2,3,1700,101577
1,2,4,1700,51546
1,2,5,1700,51540
1,2,6,1700,51582
1,2,7,1700,82400
1,2,8,1700,91852
1,2,9,1700,67230
1,2,10,1700,58426
1,2,11,1700,51509
1,2,12,1700,51830
1,2,13,1700,51636
1,2,14,1700,51448
1,2,15,1700,51720
1,2,16,1700,50751
1,2,17,1700,51645
1,2,18,1700,101841
1,2,19,1700,110226
1,2,20,1700,102152
1,2,21,1700,102040
1,2,22,1700,91114
1,2,23,1700,51535
1,2,24,1700,51459
1,2,25,1700,51611
1,2,26,1700,51662
1,2,27,1700,51650
1,2,28,1700,51771
1,2,29,1700,102033
1,2,30,1700,71257
1,2,31,1700,51628
1,2,32,1700,51415
1,2,33,1700,51590
1,2,34,1700,51545
1,2,35,1700,51586
1,2,36,1700,51570
1,2,37,1700,51642
1,2,38,1700,51535
1,2,39,1700,51581
1,2,40,1700,51490
1,2,41,1700,51389
1,2,42,1700,51568
1,2,43,1700,51621
1,2,44,1700,102340
1,2,45,1700,102790
1,2,46,1700,101461
1,2,47,1700,103483
1,2,48,1700,102460
1,2,49,1700,102834
1,2,50,1700,102791
1,2,51,1700,51556
1,2,52,1700,102638
1,2,53,1700,51499
1,2,54,1700,94430
1,2,55,1700,51564
1,2,56,1700,51526
1,2,57,1700,51519
1,2,58,1700,51551
1,2,59,1700,51609
1,2,60,1700,51515
1,2,61,1700,51941
1,2,62,1700,51564
1,2,63,1700,101591
1,3,0,1803,108250
1,3,1,1803,108331
1,3,2,1803,107722
1,3,3,1803,107705
1,3,4,1803,54658
1,3,5,1803,54613
1,3,6,1803,54633
1,3,7,1803,87022
1,3,8,1803,97775
1,3,9,1803,71109
1,3,10,1803,60951
1,3,11,1803,54500
1,3,12,1803,54698
1,3,13,1803,54662
1,3,14,1803,54631
1,3,15,1803,54826
1,3,16,1803,53726
1,3,17,1803,54619
1,3,18,1803,107976
1,3,19,1803,116852
1,3,20,1803,108178
1,3,21,1803,108229
1,3,22,1803,96973
1,3,23,1803,54652
1,3,24,1803,54659
1,3,25,1803,54785
1,3,26,1803,54622
1,3,27,1803,54768
1,3,28,1803,54554
1,3,29,1803,108158
1,3,30,1803,75609
1,3,31,1803,54681
1,3,32,1803,54621
1,3,33,1803,54762
1,3,34,1803,54644
1,3,35,1803,54943
1,3,36,1803,54736
1,3,37,1803,54663
1,3,38,1803,54710
1,3,39,1803,54651
1,3,40,1803,54679
1,3,41,1803,54593
1,3,42,1803,54660
1,3,43,1803,54619
1,3,44,1802,54579
1,3,45,1803,54527
1,3,46,1803,54661
1,3,47,1803,54514
1,3,48,1803,54713
1,3,49,1803,54652
1,3,50,1803,54709
1,3,51,1803,54575
1,3,52,1803,108463
1,3,53,1803,108504
1,3,54,1803,107990
1,3,55,1803,108666
1,3,56,1803,108662
1,3,57,1803,109026
1,3,58,1803,108882
1,3,59,1803,108705
1,3,60,1803,108490
1,3,61,1803,54600
1,3,62,1803,60469
1,3,63,1803,107727
1,4,0,1756,105483
1,4,1,1756,105532
1,4,2,1756,105448
1,4,3,1756,105439
1,4,4,1756,53286
1,4,5,1756,53442
1,4,6,1756,53146
1,4,7,1756,84391
1,4,8,1756,96018
1,4,9,1756,69574
1,4,10,1756,60370
1,4,11,1756,53195
1,4,12,1756,53104
1,4,13,1756,53069
1,4,14,1756,53142
1,4,15,1756,53211
1,4,16,1756,52281
1,4,17,1756,53232
1,4,18,1756,105281
1,4,19,1756,113775
1,4,20,1756,105387
1,4,21,1756,105502
1,4,22,1756,93160
1,4,23,1756,53247
1,4,24,1756,53116
1,4,25,1756,53222
1,4,26,1756,53154
1,4,27,1756,53239
1,4,28,1756,53268
1,4,29,1756,105360
1,4,30,1756,74640
1,4,31,1756,53184
1,4,32,1756,53279
1,4,33,1756,53103
1,4,34,1756,53204
1,4,35,1756,53264
1,4,36,1756,53250
1,4,37,1756,53194
1,4,38,1756,53235
1,4,39,1756,53200
1,4,40,1756,53222
1,4,41,1756,53129
1,4,42,1756,53234
1,4,43,1756,53171
1,4,44,1756,53262
1,4,45,1756,53244
1,4,46,1756,53365
1,4,47,1756,53211
1,4,48,1756,53125
1,4,49,1756,53188
1,4,50,1756,53230
1,4,51,1756,53207
1,4,52,1756,53342
1,4,53,1756,53195
1,4,54,1756,53183
1,4,55,1756,53200
1,4,56,1756,53184
1,4,57,1756,53178
1,4,58,1756,53176
1,4,59,1756,53139
1,4,60,1756,105547
1,4,61,1756,106099
1,4,62,1756,104864
1,4,63,1756,105451
1,5,0,1737,104221
1,5,1,1737,104325
1,5,2,1737,103954
1,5,3,1737,104043
1,5,4,1737,105112
1,5,5,1737,103285
1,5,6,1737,103273
1,5,7,1737,111952
1,5,8,1737,112550
1,5,9,1737,103579
1,5,10,1737,60040
1,5,11,1737,104637
1,5,12,1737,104322
1,5,13,1737,52560
1,5,14,1737,56128
1,5,15,1737,52761
1,5,16,1737,51681
1,5,17,1737,52750
1,5,18,1737,104196
1,5,19,1737,112683
1,5,20,1737,102663
1,5,21,1737,104241
1,5,22,1737,92031
1,5,23,1737,52686
1,5,24,1737,52673
1,5,25,1737,52666
1,5,26,1737,52616
1,5,27,1737,52870
1,5,28,1737,52686
1,5,29,1737,104365
1,5,30,1737,74597
1,5,31,1737,52736
1,5,32,1737,52622
1,5,33,1737,52678
1,5,34,1737,52762
1,5,35,1737,53137
1,5,36,1737,52528
1,5,37,1737,52742
1,5,38,1737,52550
1,5,39,1737,52793
1,5,40,1737,52835
1,5,41,1737,52582
1,5,42,1737,52816
1,5,43,1737,52678
1,5,44,1737,53048
1,5,45,1737,52615
1,5,46,1737,52657
1,5,47,1737,52825
1,5,48,1737,52619
1,5,49,1737,52583
1,5,50,1737,52680
1,5,51,1737,52546
1,5,52,1737,52798
1,5,53,1737,52722
1,5,54,1737,52654
1,5,55,1737,52582
1,5,56,1737,52750
1,5,57,1737,52748
1,5,58,1737,52802
1,5,59,1737,52688
1,5,60,1737,52752
1,5,61,1737,52785
1,5,62,1737,52698
1,5,63,1737,103720
1,6,0,1773,106398
1,6,1,1773,107144
1,6,2,1773,105950
1,6,3,1773,105774
1,6,4,1773,53927
1,6,5,1773,53851
1,6,6,1773,53848
1,6,7,1773,85895
1,6,8,1773,96257
1,6,9,1773,69320
1,6,10,1773,60032
1,6,11,1773,53906
1,6,12,1773,106503
1,6,13,1773,105313
1,6,14,1773,104708
1,6,15,1773,107362
1,6,16,1773,52891
1,6,17,1773,105811
1,6,18,1773,106433
1,6,19,1773,101312
1,6,20,1773,106675
1,6,21,1772,106277
1,6,22,1773,104841
1,6,23,1773,53786
1,6,24,1773,53817
1,6,25,1773,53884
1,6,26,1773,53874
1,6,27,1773,53794
1,6,28,1773,54012
1,6,29,1773,106375
1,6,30,1773,75688
1,6,31,1773,53868
1,6,32,1773,53743
1,6,33,1773,53806
1,6,34,1773,53951
1,6,35,1773,53850
1,6,36,1773,53934
1,6,37,1773,53901
1,6,38,1773,53830
1,6,39,1773,53837
1,6,40,1773,53931
1,6,41,1773,53702
1,6,42,1772,53788
