victim_set,victim_line_count,probe_set,count,sum_probe_time
0,6,29,3449,209219
0,6,30,3449,206987
0,6,31,3448,208131
0,6,32,3448,209057
0,6,33,3446,208715
0,6,34,3447,210037
0,6,35,3447,206826
0,6,36,3449,208115
0,6,37,3448,210116
0,6,38,3449,208833
0,6,39,3447,209340
0,6,40,3447,211973
0,6,41,3449,209400
0,6,42,3447,209853
0,6,43,3446,208147
0,6,44,3448,212325
0,6,45,3447,209360
0,6,46,3448,208215
0,6,47,3447,209811
0,6,48,3448,210622
0,6,49,3445,210867
0,6,50,3448,210770
0,6,51,3449,208076
0,6,52,3446,212827
0,6,53,3446,213316
0,6,54,3449,214136
0,6,55,3449,212945
0,6,56,3449,208307
0,6,57,3447,208697
0,6,58,3448,211634
0,6,59,3448,208844
0,6,60,3445,208099
0,6,61,3446,209218
0,6,62,3448,208514
0,6,63,3448,208023
0,7,0,3468,209264
0,7,1,3468,212500
0,7,2,3469,207742
0,7,3,3468,208415
0,7,4,3467,207209
0,7,5,3467,211011
0,7,6,3469,210499
0,7,7,3469,208659
0,7,8,3468,209939
0,7,9,3465,209444
0,7,10,3469,210372
0,7,11,3467,211171
0,7,12,3468,209636
0,7,13,3469,210657
0,7,14,3469,208187
0,7,15,3467,209253
0,7,16,3467,210146
0,7,17,3468,211842
0,7,18,3467,213309
0,7,19,3469,207980
0,7,20,3468,210528
0,7,21,3469,207929
0,7,22,3468,207736
0,7,23,3468,208867
0,7,24,3468,210350
0,7,25,3468,211938
0,7,26,3468,210233
0,7,27,3469,208986
0,7,28,3469,207849
0,7,29,3469,210162
0,7,30,3468,207532
0,7,31,3469,210481
0,7,32,3469,209859
0,7,33,3468,211510
0,7,34,3467,214005
0,7,35,3467,207719
0,7,36,3466,209437
0,7,37,3468,209924
0,7,38,3467,209291
0,7,39,3469,212342
0,7,40,3469,211444
0,7,41,3467,209223
0,7,42,3468,212583
0,7,43,3469,210351
0,7,44,3467,209216
0,7,45,3467,208580
0,7,46,3467,210667
0,7,47,3468,209151
0,7,48,3469,209447
0,7,49,3466,210868
0,7,50,3467,208864
0,7,51,3467,211224
0,7,52,3468,210330
0,7,53,3466,213516
0,7,54,3467,212964
0,7,55,3468,215785
0,7,56,3467,208271
0,7,57,3467,210255
