victim_set,victim_line,probe_set,count,sum_probe_time
0,6,23,1222,157178
0,6,24,1222,157630
0,6,25,1222,157438
0,6,26,1222,256168
0,6,27,1222,250442
0,6,28,1222,157108
0,6,29,1222,255702
0,6,30,1222,157520
0,6,31,1222,157694
0,6,32,1222,157152
0,6,33,1221,157006
0,6,34,1222,157458
0,6,35,1222,157434
0,6,36,1221,157974
0,6,37,1222,157122
0,6,38,1222,157156
0,6,39,1221,158184
0,6,40,1220,157310
0,6,41,1222,159500
0,6,42,1222,156956
0,6,43,1222,158030
0,6,44,1222,159642
0,6,45,1222,157560
0,6,46,1222,251314
0,6,47,1222,157056
0,6,48,1222,159524
0,6,49,1222,247738
0,6,50,1222,252222
0,6,51,1222,252808
0,6,52,1222,253652
0,6,53,1222,251942
0,6,54,1222,252226
0,6,55,1222,252306
0,6,56,1222,251874
0,6,57,1222,157118
0,6,58,1222,157476
0,6,59,1222,157116
0,6,60,1222,157248
0,6,61,1222,157270
0,6,62,1222,276530
0,6,63,1222,255900
0,7,0,1210,249244
0,7,1,1210,249118
0,7,2,1210,249078
0,7,3,1210,228918
0,7,4,1210,218240
0,7,5,1210,217806
0,7,6,1210,216396
0,7,7,1210,216090
0,7,8,1210,215824
0,7,9,1210,166016
0,7,10,1210,165410
0,7,11,1210,155696
0,7,12,1210,155988
0,7,13,1210,156154
0,7,14,1210,159794
0,7,15,1210,156030
0,7,16,1209,248272
0,7,17,1210,156368
0,7,18,1210,155934
0,7,19,1209,155958
0,7,20,1210,155968
0,7,21,1209,156142
0,7,22,1210,156644
0,7,23,1210,156110
0,7,24,1210,156498
0,7,25,1210,155700
0,7,26,1210,253834
0,7,27,1210,248058
0,7,28,1210,156350
0,7,29,1210,248702
0,7,30,1210,156270
0,7,31,1210,155988
0,7,32,1210,155782
0,7,33,1210,155996
0,7,34,1209,156150
0,7,35,1209,155700
0,7,36,1210,156150
0,7,37,1210,156830
0,7,38,1210,156324
0,7,39,1210,156222
0,7,40,1210,156084
0,7,41,1210,158982
0,7,42,1210,155818
0,7,43,1210,156294
0,7,44,1210,158834
0,7,45,1210,156122
0,7,46,1210,248754
0,7,47,1210,155750
0,7,48,1210,159154
0,7,49,1210,156082
0,7,50,1210,155808
0,7,51,1210,155954
0,7,52,1210,158474
0,7,53,1210,155978
